,X,Y,Z,RSSI
251,-3918.1791778801958,3250.7105526615765,-62.96792250513042,-99.0
252,-3879.258739296499,3198.158748447772,-61.8183078936474,-97.0
253,-3867.601331500447,3178.717322310601,-61.63511870465561,-103.0
254,-3861.9827197018035,3168.6080746194066,-61.64356035265208,-102.0
255,-3813.8263938686364,3122.3834579136947,-63.2953457671158,-105.0
256,-3804.428149120741,3116.492487192795,-63.303838314647926,-102.0
257,-3785.7985711079305,3106.2653832404562,-63.11990775538053,-101.0
258,-3750.7238145606343,3080.814443110291,-61.95297298848587,-104.0
259,-3740.9894166640843,3075.256460583838,-61.76137011283573,-95.0
260,-3731.0018247622106,3072.5859662037356,-61.768501873828924,-102.0
261,-3715.9733415267,3080.4642046070594,-63.37345392739239,-103.0
262,-3728.6349661611885,3110.680090987893,-66.75137677117202,-100.0
263,-3747.7645958377298,3137.9034366505716,-75.5268173397688,-95.0
264,-3752.881993377885,3148.014239489235,-79.31881981275473,-94.0
265,-3757.8315060639907,3158.3471878082682,-83.31079070384546,-92.0
266,-3762.696899353755,3169.0132846794804,-87.30262463349356,-94.0
267,-3771.1672172797753,3191.12148691201,-93.6865824740583,-91.0
268,-3774.6884380526294,3202.563744052792,-96.47875486699733,-91.0
269,-3777.8742470126463,3214.0061427316127,-99.87110324413545,-92.0
270,-3780.89234947479,3225.5597298801754,-103.66347249780574,-94.0
271,-3783.7422724692747,3237.224100681428,-107.0558625013529,-92.0
272,-3786.5923079361446,3248.8885873726726,-110.64822979349759,-92.0
273,-3791.9564853875686,3272.2173273055155,-117.63309591511373,-93.0
274,-3794.6383262714708,3283.7704012379563,-120.62555265456317,-93.0
275,-3797.235746522931,3295.3230293586994,-122.81803746802177,-93.0
276,-3799.916800083678,3306.764339305227,-124.41050816561616,-93.0
277,-3804.9420114796385,3330.423591240407,-126.39517836475875,-93.0
278,-3807.2022302525284,3342.6414851034856,-126.78742529646951,-93.0
279,-3812.562141193909,3366.6333753731165,-127.37158018678377,-98.0
280,-3815.4944833825557,3377.8522005382742,-127.96388393977061,-101.0
281,-3819.51895104296,3387.961326797422,-129.15610473754208,-102.0
282,-3829.3312791948756,3408.6256147544073,-133.1391952405255,-103.0
283,-3834.1956434818953,3419.2912519372767,-135.73055577277702,-108.0
284,-3860.700327760211,3471.399116597752,-148.68638170419183,-105.0
285,-3962.638586969356,3570.9705491150507,-161.96886122526456,-102.0
286,-4121.697851779989,3561.8358146991923,-153.47332229500915,-103.0
287,-4130.9312913026315,3560.8413763786953,-153.26791404890082,-103.0
288,-4168.297595915443,3533.429955478867,-151.658919082314,-105.0
289,-4197.269621703666,3506.7910038185482,-149.45468296197345,-106.0
290,-4203.903893681213,3500.6863172652397,-149.05368135793728,-101.0
291,-4219.193452375407,3478.1500272113058,-149.05595865385808,-102.0
292,-4223.907408124206,3457.8302566149214,-151.6639185022819,-101.0
293,-4226.68424052413,3447.0596186604275,-152.66792575443588,-102.0
294,-4069.1402936465533,3278.1572455601918,-148.25948441800764,-103.0
295,-3919.342543177012,3163.7734075186613,-104.61104101995625,-103.0
296,-3792.9056178732435,3087.0936535692517,-140.72504441184262,-104.0
297,-3782.081869349268,3082.758765676128,-144.9335651608434,-103.0
298,-3760.014463316328,3074.0887084394626,-153.1507900117804,-102.0
299,-3737.695646507313,3065.3078925471336,-162.16812747339486,-99.0
300,-3726.5360476696374,3060.8618266843155,-166.37678919557078,-93.0
301,-3704.717771017149,3056.967584167322,-174.5913551625438,-92.0
302,-3694.8137501936285,3059.185694093441,-178.59602684179643,-93.0
303,-3686.252312784332,3063.2929033155997,-183.39899881478266,-93.0
304,-3678.362395468837,3066.2893830832495,-187.2021050361406,-95.0
305,-3670.3047271084606,3066.9526587508976,-189.2064209628783,-93.0
306,-3661.6591621522125,3067.059866405632,-190.21133145350464,-90.0
307,-3642.601741814545,3070.3814800591113,-188.8206253510108,-91.0
308,-3634.2035202614697,3074.92932078094,-185.8232121488526,-95.0
309,-3625.8041366712523,3080.253909664707,-181.4254089777853,-98.0
310,-3619.166339322895,3087.133824534423,-176.22583784836164,-96.0
311,-3611.1773568427193,3105.6723068629303,-166.82133579549654,-96.0
312,-3602.350284120444,3125.544715687929,-160.81658831872952,-94.0
313,-3597.30781223193,3136.0922171029015,-159.4142401634677,-92.0
314,-3592.0137583476667,3146.6397916130527,-158.41201209923545,-94.0
315,-3586.719945982292,3157.1875652712624,-157.80976204105752,-93.0
316,-3575.0412608271977,3178.949342454707,-157.40547448070168,-93.0
317,-3569.24408119393,3189.7192983801747,-157.40332689029205,-96.0
318,-3563.3629780229217,3200.4892181689474,-157.40120264479623,-96.0
319,-3557.481892159537,3211.2591428610244,-157.3990547458391,-95.0
320,-3551.768761538085,3222.1403149192006,-157.59673354028445,-98.0
321,-3533.2030738467943,3253.117073890008,-157.79126893057116,-96.0
322,-3528.5813869081644,3263.4433931818207,-157.78853612430498,-96.0
323,-3525.1347089588253,3274.103460974465,-157.78496315247702,-97.0
324,-3522.191461515035,3284.985789220538,-157.58097808719023,-102.0
325,-3520.3343605853142,3306.863757814457,-157.77066992059127,-101.0
326,-3520.4966216771463,3318.525104080466,-157.76450960975433,-101.0
327,-3520.323182491677,3330.2974532490703,-157.9584549107574,-101.0
328,-3520.2334623620654,3342.0696336901074,-157.75233226168766,-103.0
329,-3517.69163148128,3388.9345414746,-155.72894525654968,-103.0
330,-3512.0341527268065,3456.5660811344114,-153.69567915362552,-102.0
331,-3513.913605682554,3562.628846730853,-153.43614728953105,-108.0
332,-3548.8063432987906,3790.653371983712,-156.88510679775814,-107.0
333,-3548.4706047974237,3790.430970429802,-156.68542573449318,-105.0
334,-3548.3020382046802,3788.2077892147377,-153.48684222410745,-104.0
335,-3548.6384109454107,3786.208520922066,-152.88784506478498,-101.0
336,-3552.17120825257,3768.1062042202225,-150.69662606406828,-105.0
337,-3562.766432501765,3723.6852766998372,-146.91687356606465,-104.0
338,-3639.309501763255,3396.5413163334924,-146.65675280390104,-107.0
339,-3641.412716204461,3386.991244818587,-146.66064458598382,-101.0
340,-3645.955196039809,3367.558198796557,-146.86836751622687,-103.0
341,-3648.4785710312976,3357.564311804981,-147.27220795305934,-98.0
342,-3655.712865266721,3327.3601533531732,-148.0839375382798,-104.0
343,-3658.06839019405,3317.3661819293093,-148.48780715438778,-100.0
344,-3667.4056497818674,3277.9449301287377,-148.90288263346227,-96.0
345,-3669.8447467687333,3268.061752332462,-148.7065652333159,-98.0
346,-3671.8643810208696,3258.1785701675335,-148.91047281266128,-99.0
347,-3673.967901578989,3248.1842686563114,-148.9143728181192,-99.0
348,-3676.4911840055515,3238.079119399251,-148.91807125310237,-101.0
349,-3683.305164974621,3208.8739930379456,-149.12894043733064,-98.0
350,-3685.5764843202023,3199.101898852367,-149.1325507095985,-102.0
351,-3688.0155754785283,3189.3297899404156,-148.93604824915099,-103.0
352,-3690.5384981564266,3179.557625029232,-148.53948138801516,-101.0
353,-3695.332080506876,3160.234995621891,-147.1463353189297,-101.0
354,-3700.2941970104475,3140.3574623202144,-146.35330340509768,-102.0
355,-3702.6494408072476,3130.474263379457,-146.15680837012005,-100.0
356,-3704.9208057408473,3120.479964002088,-145.96040025296278,-98.0
357,-3709.1276814737444,3101.157750849747,-145.96740491948103,-100.0
358,-3711.1467347900066,3092.385078204027,-145.9705015416182,-99.0
359,-3713.165457794006,3084.5009785835914,-146.17315501837058,-92.0
360,-3714.8479062939746,3077.3940278300984,-146.1756178107566,-99.0
361,-3717.540213769974,3065.956561028519,-146.77957275712342,-95.0
362,-3717.540213769974,3065.956561028519,-146.77957275712342,-98.0
363,-3718.971271020313,3060.0720021395477,-148.58157284025296,-95.0
364,-3718.8886594612823,3059.5175275757933,-150.3818880729158,-92.0
365,-3719.0576482460674,3059.4074188888862,-152.18184313727855,-92.0
366,-3718.890352992287,3059.852244834936,-153.5817270543913,-99.0
367,-3707.4942756238943,3064.904366050821,-47.985890354738586,-105.0
368,-3707.4942158760177,3064.793212009198,-47.785943871045156,-104.0
369,-3707.7466680178086,3064.238340084749,-48.38606473420721,-105.0
370,-3707.4110741144327,3063.904996687243,-48.38642004589575,-103.0
371,-3705.6491104894803,3062.57150680979,-48.588084487750464,-103.0
372,-3705.3977386931538,3061.6829174231952,-48.58865793173168,-101.0
373,-3705.3980202286857,3061.127628812959,-48.58892492637041,-101.0
374,-3705.1462047417235,3061.57192455756,-48.9888573598428,-98.0
375,-3705.1462047417235,3061.57192455756,-48.9888573598428,-100.0
376,-3705.1462610448907,3061.460866827533,-48.988910761113324,-98.0
377,-3705.1462610448907,3061.460866827533,-48.988910761113324,-102.0
378,-3705.1462610448907,3061.460866827533,-48.988910761113324,-102.0
379,-3705.1462013349733,3061.3497128770173,-48.78896421626471,-102.0
380,-3704.3916350959566,3059.572406520178,-48.790256697511765,-104.0
381,-3704.307690903146,3059.3501523882146,-48.590412186493005,-102.0
382,-3704.1396404621632,3059.6832405107166,-48.59034948745161,-108.0
383,-3710.936386617368,3066.12871033851,-49.9833022350133,-101.0
384,-3710.93633022607,3066.2397680861577,-49.98324875267417,-101.0
385,-3710.852449300751,3066.350879613043,-50.18324399949888,-107.0
